Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
1,1,1,0,0.3,0.5,0
1,1,2,0,0.2,0.6,0
1,1,3,0,-0.1,0.2,0
1,1,4,0,0.4,0.1,0
1,1,5,0,0.2,0,0
1,1,6,0,0.1,0.1,0
1,1,7,0,0,0.1,0
1,1,8,0,0,0.6,0
1,1,9,0,0.2,0.5,0
1,1,10,0,-0.3,0.5,0
1,1,11,0,0.3,0.9,0
1,1,12,0,-0.5,0.1,0
1,1,13,0,0.3,0.2,0
1,1,14,0,-0.5,0.8,0
1,1,15,0,0,0.3,0
1,1,16,0,-0.1,0.1,0
1,1,17,0,-0.3,0.9,0
1,1,18,0,0.2,0.5,0
1,1,19,0,0.5,0.7,0
1,1,20,0,0.1,0.6,0
1,1,21,0,-0.1,0.4,0
1,1,22,0,-0.4,0.2,0
1,1,23,0,0.3,0.8,0
1,1,24,1,-0.2,0.3,0
1,1,25,0,-0.1,0,0
1,1,26,0,-0.4,0.1,0
1,1,27,0,-0.1,0.4,0
1,1,28,0,-0.2,0.5,0
1,1,29,0,0.3,0.5,0
1,1,30,0,0.1,0.4,0
1,2,1,0,0.3,0.4,0
1,2,2,0,0.2,0.1,0
1,2,3,0,-0.1,0,0
1,2,4,0,0.4,0.8,0
1,2,5,0,0.2,0.2,0
1,2,6,0,0.1,0.4,0
1,2,7,0,0,0,0
1,2,8,0,0,0.5,0
1,2,9,0,0.2,0.1,0
1,2,10,0,-0.3,0.4,0
1,2,11,0,0.3,0.2,0
1,2,12,0,-0.5,0.1,0
1,2,13,0,0.3,0.5,0
1,2,14,0,-0.5,0.2,0
1,2,15,0,0,0.8,0
1,2,16,0,-0.1,0.5,0
1,2,17,0,-0.3,0.1,0
1,2,18,0,0.2,1,0
1,2,19,0,0.5,0.4,0
1,2,20,0,0.1,0.3,0
1,2,21,1,-0.1,0.7,0
1,2,22,0,-0.4,0.7,0
1,2,23,0,0.3,1,0
1,2,24,0,-0.2,0.1,1
1,2,25,0,-0.1,0.4,0
1,2,26,0,-0.4,0.9,0
1,2,27,0,-0.1,0.4,0
1,2,28,0,-0.2,0.4,0
1,2,29,0,0.3,1,0
1,2,30,0,0.1,0.9,0
1,3,1,0,0.3,0.6,0
1,3,2,0,0.2,0.3,0
1,3,3,0,-0.1,0.5,0
1,3,4,0,0.4,0.6,0
1,3,5,0,0.2,0.7,0
1,3,6,0,0.1,0.1,0
1,3,7,0,0,0.9,0
1,3,8,0,0,0.8,0
1,3,9,0,0.2,0.1,0
1,3,10,0,-0.3,0.1,0
1,3,11,0,0.3,0.9,0
1,3,12,0,-0.5,0.9,0
1,3,13,0,0.3,0,0
1,3,14,0,-0.5,0.2,0
1,3,15,0,0,0,0
1,3,16,0,-0.1,1,0
1,3,17,0,-0.3,0.4,0
1,3,18,1,0.2,0.4,0
1,3,19,0,0.5,0.3,0
1,3,20,0,0.1,0.6,0
1,3,21,0,-0.1,0.7,1
1,3,22,0,-0.4,0,0
1,3,23,0,0.3,0,0
1,3,24,0,-0.2,0.4,1
1,3,25,0,-0.1,1,0
1,3,26,0,-0.4,0.1,0
1,3,27,0,-0.1,0.3,0
1,3,28,0,-0.2,0,0
1,3,29,0,0.3,0.3,0
1,3,30,0,0.1,0.7,0
1,4,1,0,0.3,0.2,0
1,4,2,0,0.2,0.3,0
1,4,3,0,-0.1,0.9,0
1,4,4,0,0.4,0.8,0
1,4,5,0,0.2,0.7,0
1,4,6,0,0.1,0.7,0
1,4,7,0,0,1,0
1,4,8,0,0,0.8,0
1,4,9,0,0.2,0.5,0
1,4,10,0,-0.3,0.9,0
1,4,11,0,0.3,0.1,0
1,4,12,0,-0.5,0.9,0
1,4,13,0,0.3,0.9,0
1,4,14,0,-0.5,0,0
1,4,15,0,0,0.1,0
1,4,16,0,-0.1,0.6,0
1,4,17,0,-0.3,0,0
1,4,18,1,0.2,0.5,1
1,4,19,0,0.5,0.7,0
1,4,20,0,0.1,0,0
1,4,21,0,-0.1,0.8,1
1,4,22,0,-0.4,1,0
1,4,23,0,0.3,0.2,0
1,4,24,0,-0.2,0.6,1
1,4,25,0,-0.1,0.3,0
1,4,26,0,-0.4,0.3,0
1,4,27,0,-0.1,0,0
1,4,28,0,-0.2,0.2,0
1,4,29,0,0.3,0.3,0
1,4,30,0,0.1,0.8,0
1,5,1,0,0.3,0.4,0
1,5,2,0,0.2,0.8,0
1,5,3,0,-0.1,0.9,0
1,5,4,0,0.4,0.4,0
1,5,5,0,0.2,0.5,0
1,5,6,0,0.1,0.6,0
1,5,7,0,0,0.3,0
1,5,8,0,0,1,0
1,5,9,0,0.2,0,0
1,5,10,0,-0.3,0.9,0
1,5,11,0,0.3,0.5,0
1,5,12,0,-0.5,0.2,0
1,5,13,0,0.3,0.5,0
1,5,14,0,-0.5,0.9,0
1,5,15,0,0,0.4,0
1,5,16,0,-0.1,0.3,0
1,5,17,0,-0.3,0,0
1,5,18,0,0.2,0.4,2
1,5,19,0,0.5,1,0
1,5,20,0,0.1,0.1,0
1,5,21,0,-0.1,0.3,1
1,5,22,0,-0.4,0.2,0
1,5,23,0,0.3,0.3,0
1,5,24,0,-0.2,0.1,1
1,5,25,0,-0.1,0.1,0
1,5,26,1,-0.4,0.6,0
1,5,27,0,-0.1,0.6,0
1,5,28,0,-0.2,0.7,0
1,5,29,0,0.3,0.3,0
1,5,30,0,0.1,0.4,0
1,6,1,0,0.3,0.9,0
1,6,2,0,0.2,0.7,0
1,6,3,0,-0.1,0,0
1,6,4,0,0.4,0.6,0
1,6,5,0,0.2,0.7,0
1,6,6,0,0.1,0.5,0
1,6,7,0,0,0.3,0
1,6,8,0,0,0.1,0
1,6,9,0,0.2,0,0
1,6,10,0,-0.3,0.7,0
1,6,11,0,0.3,0.1,0
1,6,12,0,-0.5,0.5,0
1,6,13,0,0.3,0.4,0
1,6,14,0,-0.5,0.6,0
1,6,15,1,0,0.6,0
1,6,16,0,-0.1,0.8,0
1,6,17,0,-0.3,0.5,0
1,6,18,0,0.2,0.4,2
1,6,19,0,0.5,0.9,0
1,6,20,0,0.1,0.3,0
1,6,21,0,-0.1,0.5,1
1,6,22,0,-0.4,0.3,0
1,6,23,0,0.3,0.4,0
1,6,24,0,-0.2,0.8,1
1,6,25,0,-0.1,0.9,0
1,6,26,0,-0.4,0.1,1
1,6,27,0,-0.1,0.3,0
1,6,28,0,-0.2,0.1,0
1,6,29,0,0.3,0.2,0
1,6,30,0,0.1,0,0
1,7,1,0,0.3,0.8,0
1,7,2,0,0.2,0.4,0
1,7,3,0,-0.1,0.3,0
1,7,4,0,0.4,0.2,0
1,7,5,0,0.2,0.2,0
1,7,6,0,0.1,0.5,0
1,7,7,0,0,0.8,0
1,7,8,0,0,1,0
1,7,9,0,0.2,0.2,0
1,7,10,0,-0.3,0.9,0
1,7,11,0,0.3,0.2,0
1,7,12,0,-0.5,0.1,0
1,7,13,0,0.3,0.2,0
1,7,14,0,-0.5,0.2,0
1,7,15,0,0,0.2,1
1,7,16,0,-0.1,0.2,0
1,7,17,0,-0.3,0.8,0
1,7,18,0,0.2,0.3,2
1,7,19,0,0.5,0.6,0
1,7,20,0,0.1,0.1,0
1,7,21,0,-0.1,0,1
1,7,22,0,-0.4,0.5,0
1,7,23,0,0.3,0.9,0
1,7,24,0,-0.2,0.1,1
1,7,25,1,-0.1,0.5,0
1,7,26,0,-0.4,0.8,1
1,7,27,0,-0.1,0.1,0
1,7,28,0,-0.2,0.1,0
1,7,29,0,0.3,0.5,0
1,7,30,0,0.1,0.1,0
1,8,1,0,0.3,0.6,0
1,8,2,0,0.2,0.6,0
1,8,3,0,-0.1,0.3,0
1,8,4,0,0.4,0.2,0
1,8,5,0,0.2,0,0
1,8,6,0,0.1,0.2,0
1,8,7,0,0,1,0
1,8,8,0,0,0,0
1,8,9,0,0.2,0.4,0
1,8,10,0,-0.3,0.1,0
1,8,11,0,0.3,0.3,0
1,8,12,0,-0.5,0.8,0
1,8,13,0,0.3,0.8,0
1,8,14,0,-0.5,0,0
1,8,15,0,0,1,1
1,8,16,0,-0.1,0.1,0
1,8,17,0,-0.3,0.9,0
1,8,18,0,0.2,0.3,2
1,8,19,0,0.5,0.7,0
1,8,20,0,0.1,0.7,0
1,8,21,0,-0.1,0.7,1
1,8,22,0,-0.4,0.8,0
1,8,23,0,0.3,0,0
1,8,24,0,-0.2,0.4,1
1,8,25,0,-0.1,0.1,1
1,8,26,1,-0.4,0.5,1
1,8,27,0,-0.1,0.9,0
1,8,28,0,-0.2,0.4,0
1,8,29,0,0.3,0.9,0
1,8,30,0,0.1,0.2,0
1,9,1,0,0.3,0,0
1,9,2,0,0.2,0.6,0
1,9,3,0,-0.1,0.3,0
1,9,4,0,0.4,0,0
1,9,5,0,0.2,0.5,0
1,9,6,0,0.1,0.9,0
1,9,7,0,0,0.2,0
1,9,8,0,0,0.6,0
1,9,9,0,0.2,0.7,0
1,9,10,0,-0.3,0.5,0
1,9,11,0,0.3,0.4,0
1,9,12,1,-0.5,0.8,0
1,9,13,0,0.3,0.3,0
1,9,14,0,-0.5,0.9,0
1,9,15,0,0,0.6,1
1,9,16,0,-0.1,0.2,0
1,9,17,0,-0.3,0.1,0
1,9,18,0,0.2,0.1,2
1,9,19,0,0.5,0.3,0
1,9,20,0,0.1,0.7,0
1,9,21,0,-0.1,0.6,1
1,9,22,0,-0.4,0.1,0
1,9,23,0,0.3,0.6,0
1,9,24,0,-0.2,1,1
1,9,25,0,-0.1,0.7,1
1,9,26,0,-0.4,0.3,2
1,9,27,0,-0.1,0,0
1,9,28,0,-0.2,0.2,0
1,9,29,0,0.3,0.4,0
1,9,30,0,0.1,0.5,0
1,10,1,0,0.3,0.9,0
1,10,2,0,0.2,0.7,0
1,10,3,1,-0.1,0.8,0
1,10,4,0,0.4,1,0
1,10,5,0,0.2,0,0
1,10,6,0,0.1,0.7,0
1,10,7,0,0,0.8,0
1,10,8,0,0,0.1,0
1,10,9,0,0.2,1,0
1,10,10,0,-0.3,0.3,0
1,10,11,0,0.3,0,0
1,10,12,0,-0.5,0.3,1
1,10,13,0,0.3,0.6,0
1,10,14,0,-0.5,0,0
1,10,15,0,0,0.1,1
1,10,16,0,-0.1,0.1,0
1,10,17,0,-0.3,0.9,0
1,10,18,0,0.2,0.6,2
1,10,19,0,0.5,0.3,0
1,10,20,0,0.1,0,0
1,10,21,0,-0.1,0.7,1
1,10,22,0,-0.4,1,0
1,10,23,0,0.3,0.5,0
1,10,24,0,-0.2,0.9,1
1,10,25,0,-0.1,0.4,1
1,10,26,0,-0.4,0.6,2
1,10,27,0,-0.1,1,0
1,10,28,0,-0.2,0.5,0
1,10,29,0,0.3,0.2,0
1,10,30,0,0.1,1,0
2,1,1,0,0.4,0.5,0
2,1,2,0,-0.1,0.6,0
2,1,3,0,-0.4,0.2,0
2,1,4,0,0.1,0.1,0
2,1,5,0,-0.4,0,0
2,1,6,0,-0.2,0.1,0
2,1,7,0,0,0.1,0
2,1,8,0,0.1,0.6,0
2,1,9,0,-0.1,0.5,0
2,1,10,1,-0.3,0.5,0
2,1,11,0,0.4,0.9,0
2,1,12,0,0.3,0.1,0
2,1,13,0,-0.3,0.2,0
2,1,14,0,0.1,0.8,0
2,1,15,0,0,0.3,0
2,1,16,0,-0.2,0.1,0
2,1,17,0,-0.1,0.9,0
2,1,18,0,-0.4,0.5,0
2,1,19,0,0.1,0.7,0
2,1,20,0,0.5,0.6,0
2,1,21,0,0.5,0.4,0
2,1,22,0,-0.1,0.2,0
2,1,23,0,0.4,0.8,0
2,1,24,0,-0.5,0.3,0
2,1,25,0,0.2,0,0
2,1,26,0,0.3,0.1,0
2,1,27,0,-0.2,0.4,0
2,1,28,0,0.1,0.5,0
2,1,29,0,0,0.5,0
2,1,30,0,0.3,0.4,0
2,2,1,0,0.4,0.4,0
2,2,2,0,-0.1,0.1,0
2,2,3,0,-0.4,0,0
2,2,4,0,0.1,0.8,0
2,2,5,0,-0.4,0.2,0
2,2,6,0,-0.2,0.4,0
2,2,7,0,0,0,0
2,2,8,0,0.1,0.5,0
2,2,9,0,-0.1,0.1,0
2,2,10,0,-0.3,0.4,1
2,2,11,0,0.4,0.2,0
2,2,12,0,0.3,0.1,0
2,2,13,0,-0.3,0.5,0
2,2,14,0,0.1,0.2,0
2,2,15,0,0,0.8,0
2,2,16,0,-0.2,0.5,0
2,2,17,0,-0.1,0.1,0
2,2,18,0,-0.4,1,0
2,2,19,0,0.1,0.4,0
2,2,20,0,0.5,0.3,0
2,2,21,0,0.5,0.7,0
2,2,22,1,-0.1,0.7,0
2,2,23,0,0.4,1,0
2,2,24,0,-0.5,0.1,0
2,2,25,0,0.2,0.4,0
2,2,26,0,0.3,0.9,0
2,2,27,0,-0.2,0.4,0
2,2,28,0,0.1,0.4,0
2,2,29,0,0,1,0
2,2,30,0,0.3,0.9,0
2,3,1,0,0.4,0.6,0
2,3,2,0,-0.1,0.3,0
2,3,3,0,-0.4,0.5,0
2,3,4,0,0.1,0.6,0
2,3,5,0,-0.4,0.7,0
2,3,6,0,-0.2,0.1,0
2,3,7,0,0,0.9,0
2,3,8,0,0.1,0.8,0
2,3,9,0,-0.1,0.1,0
2,3,10,0,-0.3,0.1,1
2,3,11,1,0.4,0.9,0
2,3,12,0,0.3,0.9,0
2,3,13,0,-0.3,0,0
2,3,14,0,0.1,0.2,0
2,3,15,0,0,0,0
2,3,16,0,-0.2,1,0
2,3,17,0,-0.1,0.4,0
2,3,18,0,-0.4,0.4,0
2,3,19,0,0.1,0.3,0
2,3,20,0,0.5,0.6,0
2,3,21,0,0.5,0.7,0
2,3,22,0,-0.1,0,1
2,3,23,0,0.4,0,0
2,3,24,0,-0.5,0.4,0
2,3,25,0,0.2,1,0
2,3,26,0,0.3,0.1,0
2,3,27,0,-0.2,0.3,0
2,3,28,0,0.1,0,0
2,3,29,0,0,0.3,0
2,3,30,0,0.3,0.7,0
2,4,1,0,0.4,0.2,0
2,4,2,0,-0.1,0.3,0
2,4,3,0,-0.4,0.9,0
2,4,4,0,0.1,0.8,0
2,4,5,0,-0.4,0.7,0
2,4,6,0,-0.2,0.7,0
2,4,7,0,0,1,0
2,4,8,0,0.1,0.8,0
2,4,9,0,-0.1,0.5,0
2,4,10,1,-0.3,0.9,1
2,4,11,0,0.4,0.1,1
2,4,12,0,0.3,0.9,0
2,4,13,0,-0.3,0.9,0
2,4,14,0,0.1,0,0
2,4,15,0,0,0.1,0
2,4,16,0,-0.2,0.6,0
2,4,17,0,-0.1,0,0
2,4,18,0,-0.4,0.5,0
2,4,19,0,0.1,0.7,0
2,4,20,0,0.5,0,0
2,4,21,0,0.5,0.8,0
2,4,22,0,-0.1,1,1
2,4,23,0,0.4,0.2,0
2,4,24,0,-0.5,0.6,0
2,4,25,0,0.2,0.3,0
2,4,26,0,0.3,0.3,0
2,4,27,0,-0.2,0,0
2,4,28,0,0.1,0.2,0
2,4,29,0,0,0.3,0
2,4,30,0,0.3,0.8,0
2,5,1,0,0.4,0.4,0
2,5,2,0,-0.1,0.8,0
2,5,3,1,-0.4,0.9,0
2,5,4,0,0.1,0.4,0
2,5,5,0,-0.4,0.5,0
2,5,6,0,-0.2,0.6,0
2,5,7,0,0,0.3,0
2,5,8,0,0.1,1,0
2,5,9,0,-0.1,0,0
2,5,10,0,-0.3,0.9,2
2,5,11,0,0.4,0.5,1
2,5,12,0,0.3,0.2,0
2,5,13,0,-0.3,0.5,0
2,5,14,0,0.1,0.9,0
2,5,15,0,0,0.4,0
2,5,16,0,-0.2,0.3,0
2,5,17,0,-0.1,0,0
2,5,18,0,-0.4,0.4,0
2,5,19,0,0.1,1,0
2,5,20,0,0.5,0.1,0
2,5,21,0,0.5,0.3,0
2,5,22,0,-0.1,0.2,1
2,5,23,0,0.4,0.3,0
2,5,24,0,-0.5,0.1,0
2,5,25,0,0.2,0.1,0
2,5,26,0,0.3,0.6,0
2,5,27,0,-0.2,0.6,0
2,5,28,0,0.1,0.7,0
2,5,29,0,0,0.3,0
2,5,30,0,0.3,0.4,0
2,6,1,0,0.4,0.9,0
2,6,2,0,-0.1,0.7,0
2,6,3,0,-0.4,0,1
2,6,4,1,0.1,0.6,0
2,6,5,0,-0.4,0.7,0
2,6,6,0,-0.2,0.5,0
2,6,7,0,0,0.3,0
2,6,8,0,0.1,0.1,0
2,6,9,0,-0.1,0,0
2,6,10,0,-0.3,0.7,2
2,6,11,0,0.4,0.1,1
2,6,12,0,0.3,0.5,0
2,6,13,0,-0.3,0.4,0
2,6,14,0,0.1,0.6,0
2,6,15,0,0,0.6,0
2,6,16,0,-0.2,0.8,0
2,6,17,0,-0.1,0.5,0
2,6,18,0,-0.4,0.4,0
2,6,19,0,0.1,0.9,0
2,6,20,0,0.5,0.3,0
2,6,21,0,0.5,0.5,0
2,6,22,0,-0.1,0.3,1
2,6,23,0,0.4,0.4,0
2,6,24,0,-0.5,0.8,0
2,6,25,0,0.2,0.9,0
2,6,26,0,0.3,0.1,0
2,6,27,0,-0.2,0.3,0
2,6,28,0,0.1,0.1,0
2,6,29,0,0,0.2,0
2,6,30,0,0.3,0,0
2,7,1,0,0.4,0.8,0
2,7,2,0,-0.1,0.4,0
2,7,3,0,-0.4,0.3,1
2,7,4,0,0.1,0.2,1
2,7,5,0,-0.4,0.2,0
2,7,6,0,-0.2,0.5,0
2,7,7,0,0,0.8,0
2,7,8,0,0.1,1,0
2,7,9,0,-0.1,0.2,0
2,7,10,0,-0.3,0.9,2
2,7,11,1,0.4,0.2,1
2,7,12,0,0.3,0.1,0
2,7,13,0,-0.3,0.2,0
2,7,14,0,0.1,0.2,0
2,7,15,0,0,0.2,0
2,7,16,0,-0.2,0.2,0
2,7,17,0,-0.1,0.8,0
2,7,18,0,-0.4,0.3,0
2,7,19,0,0.1,0.6,0
2,7,20,0,0.5,0.1,0
2,7,21,0,0.5,0,0
2,7,22,0,-0.1,0.5,1
2,7,23,0,0.4,0.9,0
2,7,24,0,-0.5,0.1,0
2,7,25,0,0.2,0.5,0
2,7,26,0,0.3,0.8,0
2,7,27,0,-0.2,0.1,0
2,7,28,0,0.1,0.1,0
2,7,29,0,0,0.5,0
2,7,30,0,0.3,0.1,0
2,8,1,0,0.4,0.6,0
2,8,2,0,-0.1,0.6,0
2,8,3,0,-0.4,0.3,1
2,8,4,0,0.1,0.2,1
2,8,5,0,-0.4,0,0
2,8,6,0,-0.2,0.2,0
2,8,7,0,0,1,0
2,8,8,0,0.1,0,0
2,8,9,0,-0.1,0.4,0
2,8,10,0,-0.3,0.1,2
2,8,11,0,0.4,0.3,2
2,8,12,0,0.3,0.8,0
2,8,13,0,-0.3,0.8,0
2,8,14,0,0.1,0,0
2,8,15,1,0,1,0
2,8,16,0,-0.2,0.1,0
2,8,17,0,-0.1,0.9,0
2,8,18,0,-0.4,0.3,0
2,8,19,0,0.1,0.7,0
2,8,20,0,0.5,0.7,0
2,8,21,0,0.5,0.7,0
2,8,22,0,-0.1,0.8,1
2,8,23,0,0.4,0,0
2,8,24,0,-0.5,0.4,0
2,8,25,0,0.2,0.1,0
2,8,26,0,0.3,0.5,0
2,8,27,0,-0.2,0.9,0
2,8,28,0,0.1,0.4,0
2,8,29,0,0,0.9,0
2,8,30,0,0.3,0.2,0
2,9,1,0,0.4,0,0
2,9,2,0,-0.1,0.6,0
2,9,3,0,-0.4,0.3,1
2,9,4,0,0.1,0,1
2,9,5,0,-0.4,0.5,0
2,9,6,1,-0.2,0.9,0
2,9,7,0,0,0.2,0
2,9,8,0,0.1,0.6,0
2,9,9,0,-0.1,0.7,0
2,9,10,0,-0.3,0.5,2
2,9,11,0,0.4,0.4,2
2,9,12,0,0.3,0.8,0
2,9,13,0,-0.3,0.3,0
2,9,14,0,0.1,0.9,0
2,9,15,0,0,0.6,1
2,9,16,0,-0.2,0.2,0
2,9,17,0,-0.1,0.1,0
2,9,18,0,-0.4,0.1,0
2,9,19,0,0.1,0.3,0
2,9,20,0,0.5,0.7,0
2,9,21,0,0.5,0.6,0
2,9,22,0,-0.1,0.1,1
2,9,23,0,0.4,0.6,0
2,9,24,0,-0.5,1,0
2,9,25,0,0.2,0.7,0
2,9,26,0,0.3,0.3,0
2,9,27,0,-0.2,0,0
2,9,28,0,0.1,0.2,0
2,9,29,0,0,0.4,0
2,9,30,0,0.3,0.5,0
2,10,1,0,0.4,0.9,0
2,10,2,0,-0.1,0.7,0
2,10,3,0,-0.4,0.8,1
2,10,4,0,0.1,1,1
2,10,5,0,-0.4,0,0
2,10,6,0,-0.2,0.7,1
2,10,7,1,0,0.8,0
2,10,8,0,0.1,0.1,0
2,10,9,0,-0.1,1,0
2,10,10,0,-0.3,0.3,2
2,10,11,0,0.4,0,2
2,10,12,0,0.3,0.3,0
2,10,13,0,-0.3,0.6,0
2,10,14,0,0.1,0,0
2,10,15,0,0,0.1,1
2,10,16,0,-0.2,0.1,0
2,10,17,0,-0.1,0.9,0
2,10,18,0,-0.4,0.6,0
2,10,19,0,0.1,0.3,0
2,10,20,0,0.5,0,0
2,10,21,0,0.5,0.7,0
2,10,22,0,-0.1,1,1
2,10,23,0,0.4,0.5,0
2,10,24,0,-0.5,0.9,0
2,10,25,0,0.2,0.4,0
2,10,26,0,0.3,0.6,0
2,10,27,0,-0.2,1,0
2,10,28,0,0.1,0.5,0
2,10,29,0,0,0.2,0
2,10,30,0,0.3,1,0
3,1,1,0,-0.4,0.5,0
3,1,2,0,0.3,0.6,0
3,1,3,0,0.1,0.2,0
3,1,4,0,0.5,0.1,0
3,1,5,0,0.2,0,0
3,1,6,0,0.5,0.1,0
3,1,7,0,0.4,0.1,0
3,1,8,0,0.4,0.6,0
3,1,9,0,0.2,0.5,0
3,1,10,0,-0.2,0.5,0
3,1,11,0,-0.3,0.9,0
3,1,12,0,0,0.1,0
3,1,13,0,-0.4,0.2,0
3,1,14,1,0.5,0.8,0
3,1,15,0,0.5,0.3,0
3,1,16,0,0.5,0.1,0
3,1,17,0,-0.1,0.9,0
3,1,18,0,-0.1,0.5,0
3,1,19,0,0.2,0.7,0
3,1,20,0,0.1,0.6,0
3,1,21,0,0.2,0.4,0
3,1,22,0,0.2,0.2,0
3,1,23,0,-0.3,0.8,0
3,1,24,0,-0.4,0.3,0
3,1,25,0,-0.4,0,0
3,1,26,0,0,0.1,0
3,1,27,0,-0.4,0.4,0
3,1,28,0,-0.2,0.5,0
3,1,29,0,-0.1,0.5,0
3,1,30,0,-0.5,0.4,0
3,2,1,0,-0.4,0.4,0
3,2,2,0,0.3,0.1,0
3,2,3,0,0.1,0,0
3,2,4,0,0.5,0.8,0
3,2,5,0,0.2,0.2,0
3,2,6,0,0.5,0.4,0
3,2,7,0,0.4,0,0
3,2,8,0,0.4,0.5,0
3,2,9,0,0.2,0.1,0
3,2,10,0,-0.2,0.4,0
3,2,11,0,-0.3,0.2,0
3,2,12,0,0,0.1,0
3,2,13,0,-0.4,0.5,0
3,2,14,0,0.5,0.2,1
3,2,15,0,0.5,0.8,0
3,2,16,0,0.5,0.5,0
3,2,17,0,-0.1,0.1,0
3,2,18,1,-0.1,1,0
3,2,19,0,0.2,0.4,0
3,2,20,0,0.1,0.3,0
3,2,21,0,0.2,0.7,0
3,2,22,0,0.2,0.7,0
3,2,23,0,-0.3,1,0
3,2,24,0,-0.4,0.1,0
3,2,25,0,-0.4,0.4,0
3,2,26,0,0,0.9,0
3,2,27,0,-0.4,0.4,0
3,2,28,0,-0.2,0.4,0
3,2,29,0,-0.1,1,0
3,2,30,0,-0.5,0.9,0
3,3,1,0,-0.4,0.6,0
3,3,2,0,0.3,0.3,0
3,3,3,0,0.1,0.5,0
3,3,4,0,0.5,0.6,0
3,3,5,0,0.2,0.7,0
3,3,6,0,0.5,0.1,0
3,3,7,0,0.4,0.9,0
3,3,8,0,0.4,0.8,0
3,3,9,0,0.2,0.1,0
3,3,10,0,-0.2,0.1,0
3,3,11,0,-0.3,0.9,0
3,3,12,0,0,0.9,0
3,3,13,0,-0.4,0,0
3,3,14,0,0.5,0.2,1
3,3,15,0,0.5,0,0
3,3,16,0,0.5,1,0
3,3,17,0,-0.1,0.4,0
3,3,18,0,-0.1,0.4,1
3,3,19,0,0.2,0.3,0
3,3,20,0,0.1,0.6,0
3,3,21,0,0.2,0.7,0
3,3,22,0,0.2,0,0
3,3,23,0,-0.3,0,0
3,3,24,0,-0.4,0.4,0
3,3,25,0,-0.4,1,0
3,3,26,0,0,0.1,0
3,3,27,0,-0.4,0.3,0
3,3,28,0,-0.2,0,0
3,3,29,0,-0.1,0.3,0
3,3,30,1,-0.5,0.7,0
3,4,1,0,-0.4,0.2,0
3,4,2,0,0.3,0.3,0
3,4,3,0,0.1,0.9,0
3,4,4,0,0.5,0.8,0
3,4,5,0,0.2,0.7,0
3,4,6,0,0.5,0.7,0
3,4,7,0,0.4,1,0
3,4,8,0,0.4,0.8,0
3,4,9,0,0.2,0.5,0
3,4,10,0,-0.2,0.9,0
3,4,11,0,-0.3,0.1,0
3,4,12,0,0,0.9,0
3,4,13,0,-0.4,0.9,0
3,4,14,0,0.5,0,1
3,4,15,0,0.5,0.1,0
3,4,16,0,0.5,0.6,0
3,4,17,0,-0.1,0,0
3,4,18,0,-0.1,0.5,1
3,4,19,0,0.2,0.7,0
3,4,20,0,0.1,0,0
3,4,21,0,0.2,0.8,0
3,4,22,0,0.2,1,0
3,4,23,0,-0.3,0.2,0
3,4,24,0,-0.4,0.6,0
3,4,25,0,-0.4,0.3,0
3,4,26,0,0,0.3,0
3,4,27,0,-0.4,0,0
3,4,28,0,-0.2,0.2,0
3,4,29,0,-0.1,0.3,0
3,4,30,1,-0.5,0.8,1
3,5,1,0,-0.4,0.4,0
3,5,2,0,0.3,0.8,0
3,5,3,0,0.1,0.9,0
3,5,4,0,0.5,0.4,0
3,5,5,0,0.2,0.5,0
3,5,6,0,0.5,0.6,0
3,5,7,0,0.4,0.3,0
3,5,8,1,0.4,1,0
3,5,9,0,0.2,0,0
3,5,10,0,-0.2,0.9,0
3,5,11,0,-0.3,0.5,0
3,5,12,0,0,0.2,0
3,5,13,0,-0.4,0.5,0
3,5,14,0,0.5,0.9,1
3,5,15,0,0.5,0.4,0
3,5,16,0,0.5,0.3,0
3,5,17,0,-0.1,0,0
3,5,18,0,-0.1,0.4,1
3,5,19,0,0.2,1,0
3,5,20,0,0.1,0.1,0
3,5,21,0,0.2,0.3,0
3,5,22,0,0.2,0.2,0
3,5,23,0,-0.3,0.3,0
3,5,24,0,-0.4,0.1,0
3,5,25,0,-0.4,0.1,0
3,5,26,0,0,0.6,0
3,5,27,0,-0.4,0.6,0
3,5,28,0,-0.2,0.7,0
3,5,29,0,-0.1,0.3,0
3,5,30,0,-0.5,0.4,2
3,6,1,0,-0.4,0.9,0
3,6,2,0,0.3,0.7,0
3,6,3,0,0.1,0,0
3,6,4,0,0.5,0.6,0
3,6,5,0,0.2,0.7,0
3,6,6,0,0.5,0.5,0
3,6,7,0,0.4,0.3,0
3,6,8,0,0.4,0.1,1
3,6,9,0,0.2,0,0
3,6,10,0,-0.2,0.7,0
3,6,11,0,-0.3,0.1,0
3,6,12,0,0,0.5,0
3,6,13,0,-0.4,0.4,0
3,6,14,0,0.5,0.6,1
3,6,15,0,0.5,0.6,0
3,6,16,0,0.5,0.8,0
3,6,17,0,-0.1,0.5,0
3,6,18,0,-0.1,0.4,1
3,6,19,0,0.2,0.9,0
3,6,20,0,0.1,0.3,0
3,6,21,0,0.2,0.5,0
3,6,22,0,0.2,0.3,0
3,6,23,0,-0.3,0.4,0
3,6,24,0,-0.4,0.8,0
3,6,25,1,-0.4,0.9,0
3,6,26,0,0,0.1,0
3,6,27,0,-0.4,0.3,0
3,6,28,0,-0.2,0.1,0
